,PosSite_Di,NegSite_Di,Local-Stru,Local-Quat,Local-Qu_1,Local-Qu_2,Quaternary,Quaterna_1,GeodeticSt,Quaterna_2,FaultRecen,FaultSlipD,Earthquake,HorizGravi,HorizMagne,GravityDen,MagneticDe,Heatflow,Geochemist,Local-St_1,Local-Qu_3,Local-Qu_4,Local-Qu_5,Quaterna_3,HorizGra_1,Geodetic_1,Quaterna_4,FaultRec_1,Earthqua_1,Heatflow_E,HorizGra_2,HorizMag_1,Hillshade-,DEM-30m,Fairway
1655,4729.2198819,555.63704285,0.6,0.9,0.3,0.5,0,20,0.88561,-2.04668,2.4725299,0.757614,1.8481899,0.0039848,1.05e-05,13,18,65.2341003,-9999.0,0.15,0.18,0.3,0.125,0.1,0.480186,0.771811,0.479627,0.241983,0.355062,18.9885006,0.840338,2,180,1440,50.9920006
1656,4579.46941399,804.83040726,0.6,0.9,0.3,0.5,0,19,0.88561,-2.04668,2.4725299,0.758039,1.87216,0.0042984,1.04e-05,11,18,65.3040009,-9999.0,0.15,0.18,0.3,0.125,0.1,0.514989,0.771607,0.472248,0.238107,0.353442,19.0219994,0.840338,2,181,1441,51.2700005
2639,11453.0604483,943.19112591,0.0,0.0,0.0,0.0,0,52,0.864744,-2.38411,2.61114,0.742273,1.87795,0.002878,1.29e-05,19,19,64.3506012,-9999.0,0.0,0.0,0.0,0.0,0.1,0.332913,0.775872,0.788923,0.403113,0.353051,18.9944992,0.687549,2,180,1436,39.0428009
2640,11215.1064664,791.9463608999998,0.0,0.0,0.0,0.0,0,51,0.864744,-2.38411,2.61114,0.744178,1.87216,0.0027263,1.31e-05,20,18,64.3322983,-9999.0,0.0,0.0,0.0,0.0,0.1,0.310354,0.775899,0.788923,0.403113,0.353442,18.9640007,0.687549,2,180,1436,38.8745995
2641,10977.6879385,699.82038918,0.0,0.0,0.0,0.0,0,50,0.864744,-2.38411,2.61114,0.745287,1.86629,0.0025747,1.33e-05,21,17,64.3171005,-9999.0,0.0,0.0,0.0,0.0,0.1,0.28322,0.775925,0.788923,0.403113,0.353839,18.9354,0.725747,2,180,1436,38.6722984
2642,10740.8403721,690.88212864,0.0,0.0,0.0,0.0,0,49,0.864744,-2.38411,2.61114,0.744143,1.87216,0.0024267,1.34e-05,22,16,64.302803,-9999.0,0.0,0.0,0.0,0.0,0.1,0.28322,0.775952,0.77881,0.397869,0.353442,18.9078999,0.674817,2,180,1436,38.6823997
2643,10504.6023876,768.0414404399999,0.0,0.0,0.0,0.0,0,48,0.872928,-2.3315101,2.5889399,0.744077,1.86629,0.002284,1.34e-05,23,15,64.2906036,-9999.0,0.0,0.0,0.0,0.0,0.1,0.253821,0.775978,0.766734,0.391606,0.353839,18.8819008,0.674817,2,180,1436,38.6417999
2644,10269.0160553,909.64674066,0.0,0.0,0.0,0.0,0,47,0.872928,-2.3315101,2.5889399,0.742954,1.87216,0.0021411,1.34e-05,25,14,64.281601,-9999.0,0.0,0.0,0.0,0.0,0.1,0.253821,0.776004,0.75473,0.385379,0.353442,18.8577003,0.674817,2,180,1436,38.6517982
2665,5617.30350008,967.09913309,0.0,0.0,0.0,0.0,0,26,0.88561,-2.1029899,2.4943099,0.759936,1.8481899,0.0027946,1.06e-05,19,21,64.8216019,-9999.0,0.0,0.0,0.0,0.0,0.1,0.375913,0.772917,0.528026,0.267349,0.355062,18.7798996,0.713014,2,181,1437,40.9911003
2666,5423.10962773,724.0857644599998,0.0,0.0,0.0,0.0,0,25,0.88561,-2.1029899,2.4943099,0.759639,1.86034,0.0029264,1.06e-05,18,20,64.8794022,-9999.0,0.0,0.0,0.0,0.0,0.1,0.375913,0.772719,0.519017,0.262634,0.354241,18.7984009,0.814873,2,180,1437,41.0119019
2667,5233.65431192,488.17994158,0.0,0.0,0.0,0.0,0,24,0.88561,-2.07781,2.48453,0.759347,1.8481899,0.0030651,1.06e-05,17,20,64.9397964,-9999.0,0.0,0.0,0.0,0.0,0.1,0.405581,0.77252,0.510242,0.258039,0.355062,18.8192997,0.789409,2,180,1438,41.2727013
2668,5049.47095041,278.09911258,0.0,0.0,0.0,0.0,0,23,0.88561,-2.07781,2.48453,0.758157,1.85431,0.0032221,1.07e-05,16,19,65.0027008,-9999.0,0.0,0.0,0.0,0.0,0.1,0.405581,0.772321,0.501714,0.25357,0.354649,18.8426991,0.763944,2,181,1438,41.2831993
2669,4871.15759357,203.36808374,0.6,0.9,0.3,0.5,0,22,0.88561,-2.07781,2.48453,0.758207,1.85431,0.0034087,1.07e-05,15,18,65.0680008,-9999.0,0.15,0.18,0.3,0.125,0.1,0.438155,0.772122,0.493446,0.249235,0.354649,18.8687,0.840338,2,180,1438,49.3591995
2670,4699.38248323,361.07899211,0.6,0.9,0.3,0.5,0,21,0.88561,-2.07781,2.48453,0.758514,1.85431,0.0036346,1.07e-05,13,18,65.135498,-9999.0,0.15,0.18,0.3,0.125,0.1,0.473809,0.771923,0.48545,0.24504,0.354649,18.8971996,0.840338,2,181,1439,49.6027985
2671,4534.88865861,586.85389971,0.6,0.9,0.3,0.5,0,20,0.88561,-2.04668,2.4725299,0.759145,1.8481899,0.0039074,1.06e-05,12,18,65.2052994,-9999.0,0.15,0.18,0.3,0.125,0.1,0.473809,0.771723,0.477741,0.240992,0.355062,18.9283009,0.840338,2,181,1440,50.9485016
2672,4378.49683891,826.69036566,0.6,0.9,0.3,0.5,0,19,0.88561,-2.04668,2.4725299,0.758738,1.86034,0.0042283,1.06e-05,10,17,65.2769012,-9999.0,0.15,0.18,0.3,0.125,0.1,0.511344,0.771523,0.470332,0.2371,0.354241,18.9619999,0.904,2,180,1442,51.2249985
3653,11619.6501093,998.87276099,0.0,0.0,0.0,0.0,0,53,0.864744,-2.4137199,2.6219699,0.742487,1.88366,0.0031532,1.25e-05,16,20,64.3147964,-9999.0,0.0,0.0,0.0,0.0,0.1,0.350139,0.77564,0.788923,0.403113,0.352664,18.9764004,0.738479,2,180,1436,39.0769997
3654,11379.6875215,781.22745164,0.0,0.0,0.0,0.0,0,52,0.864744,-2.38411,2.61114,0.743219,1.88366,0.0030267,1.28e-05,17,18,64.2935028,-9999.0,0.0,0.0,0.0,0.0,0.1,0.350139,0.77567,0.788923,0.403113,0.352664,18.9435997,0.687549,2,180,1436,39.172699
3655,11140.166404,589.81850578,0.0,0.0,0.0,0.0,0,51,0.864744,-2.38411,2.61114,0.744853,1.86629,0.0028883,1.3e-05,18,17,64.2751007,-9999.0,0.0,0.0,0.0,0.0,0.1,0.328959,0.7757,0.788923,0.403113,0.353839,18.9125996,0.687549,2,180,1436,38.9950981
3656,10901.1158571,458.75419162,0.0,0.0,0.0,0.0,0,50,0.864744,-2.38411,2.61114,0.745895,1.86629,0.0027408,1.31e-05,19,16,64.2601013,-9999.0,0.0,0.0,0.0,0.0,0.1,0.30257,0.77573,0.788923,0.403113,0.353839,18.8834991,0.725747,2,180,1436,38.8096008
3657,10662.567531,444.99994033,0.0,0.0,0.0,0.0,0,49,0.864744,-2.38411,2.61114,0.74544,1.87216,0.0025913,1.32e-05,21,15,64.2460022,-9999.0,0.0,0.0,0.0,0.0,0.1,0.30257,0.77576,0.777908,0.397401,0.353442,18.8554993,0.674817,2,180,1436,38.8196983
